,BTC,XRP,4b. close (USD),4b. close (USD),4b. close (USD)
2020-04-06,7329.9,0.19803,171.32,45.04,0.0019896
2020-04-07,7197.32,0.19285,164.63,44.77,0.0019943
2020-04-08,7361.28,0.20192,173.11,46.55,0.0020038
2020-04-09,7283.54,0.19829,169.52,46.21,0.0020151
2020-04-10,6858.92,0.18758,157.81,42.25,0.001965
2020-04-11,6876.83,0.1885,158.33,42.54,0.0019645
2020-04-12,6903.79,0.18939,158.59,42.0,0.0019673
2020-04-13,6837.91,0.18763,156.29,41.22,0.0019533
2020-04-14,6868.7,0.18613,158.45,41.22,0.0019656
2020-04-15,6621.24,0.1805,152.73,39.22,0.0019061
2020-04-16,7101.94,0.19053,172.29,42.53,0.001995
2020-04-17,7027.55,0.18863,170.69,42.19,0.001983
2020-04-18,7248.6,0.19544,187.4,44.14,0.0020445
2020-04-19,7120.74,0.18901,180.03,42.23,0.0020313
2020-04-20,6826.83,0.18151,170.2,40.21,0.0019787
2020-04-21,6841.37,0.18341,170.74,40.59,0.00195
2020-04-22,7125.14,0.18804,182.7,41.8,0.0019957
2020-04-23,7482.39,0.1926,185.51,42.98,0.0020512
2020-04-24,7505.0,0.19325,187.59,44.53,0.0020832
2020-04-25,7538.67,0.19418,194.21,44.38,0.0021245
2020-04-26,7693.1,0.19618,197.38,44.52,0.0024076
2020-04-27,7774.62,0.19747,196.34,44.46,0.0023456
2020-04-28,7738.98,0.21416,196.24,45.69,0.002327
2020-04-29,8778.57,0.22648,215.36,48.81,0.0024912
2020-04-30,8620.0,0.21135,206.08,46.33,0.002433
2020-05-01,8826.96,0.21786,212.02,47.07,0.0024749
2020-05-02,8972.05,0.22369,213.9,49.2,0.002542
2020-05-03,8894.16,0.21936,209.86,48.05,0.0025001
2020-05-04,8871.96,0.21776,206.48,46.96,0.0024605
2020-05-05,9021.83,0.21688,205.29,46.54,0.0024738
2020-05-06,9142.92,0.21158,198.97,44.94,0.0024801
2020-05-07,9986.4,0.21862,212.0,47.37,0.0026627
2020-05-08,9800.01,0.21865,211.31,47.69,0.0026052
2020-05-09,9539.4,0.21642,210.07,46.95,0.0026075
2020-05-10,8722.77,0.19702,187.54,42.06,0.0024602
2020-05-11,8561.52,0.19254,185.73,41.51,0.0024125
2020-05-12,8810.79,0.19711,189.76,42.18,0.0024606
2020-05-13,9309.37,0.20177,199.58,43.18,0.0025245
2020-05-14,9791.98,0.20386,203.29,43.98,0.0025813
2020-05-15,9316.42,0.19818,194.86,42.74,0.0024888
2020-05-16,9381.27,0.19969,200.45,43.25,0.0025098
2020-05-17,9680.04,0.20131,207.0,43.71,0.0025331
2020-05-18,9733.93,0.20543,214.91,45.32,0.0025379
2020-05-19,9775.53,0.20496,214.58,45.73,0.0025487
2020-05-20,9511.43,0.20179,209.98,44.25,0.0025002
2020-05-21,9068.65,0.19434,198.74,42.73,0.0024774
2020-05-22,9170.0,0.20034,207.36,44.23,0.0025175
2020-05-23,9179.15,0.19883,206.6,43.85,0.0025271
2020-05-24,8720.34,0.19256,199.9,42.08,0.0024461
2020-05-25,8900.35,0.19622,204.15,42.97,0.0025324
2020-05-26,8841.18,0.19372,200.89,42.27,0.0024781
2020-05-27,9204.07,0.19791,208.29,43.85,0.0024998
2020-05-28,9575.89,0.20052,220.21,44.77,0.002523
2020-05-29,9427.07,0.19759,220.67,44.47,0.0025303
2020-05-30,9697.72,0.20701,243.66,47.72,0.002618
2020-05-31,9448.27,0.20245,231.57,45.61,0.0025599
2020-06-01,10200.77,0.211,248.23,48.25,0.0026452
2020-06-02,9518.04,0.20301,237.71,45.99,0.0025666
2020-06-03,9666.24,0.2041,244.52,47.16,0.0025867
2020-06-04,9789.06,0.20427,243.21,47.43,0.002623
2020-06-05,9621.16,0.20274,240.03,46.83,0.0025907
2020-06-06,9666.3,0.20361,241.94,46.79,0.0025926
2020-06-07,9746.99,0.20329,244.56,46.63,0.0025987
2020-06-08,9782.01,0.20403,246.4,46.43,0.0025786
2020-06-09,9772.43,0.20127,243.8,45.87,0.0025586
2020-06-10,9885.0,0.20266,247.78,46.63,0.0025761
2020-06-11,9280.4,0.18817,230.51,43.22,0.0024463
2020-06-12,9465.13,0.19307,237.55,44.72,0.0025
2020-06-13,9473.34,0.19234,238.11,45.08,0.0025241
2020-06-14,9342.1,0.19022,231.77,44.05,0.0024972
2020-06-15,9426.02,0.19238,230.86,43.73,0.0024743
2020-06-16,9525.59,0.19238,235.3,43.88,0.0024855
2020-06-17,9465.14,0.19315,233.82,44.07,0.0024806
2020-06-18,9386.32,0.18975,231.27,43.43,0.0024575
2020-06-19,9310.23,0.18722,229.0,42.89,0.0024399
2020-06-20,9358.95,0.18792,228.89,43.57,0.0024419
2020-06-21,9294.69,0.18602,228.04,43.0,0.0024295
2020-06-22,9685.69,0.18928,243.13,44.3,0.0024731
2020-06-23,9624.89,0.18889,243.14,44.18,0.0024686
2020-06-24,9296.49,0.18348,234.58,42.65,0.0024193
2020-06-25,9249.49,0.18156,232.5,42.35,0.0024081
2020-06-26,9162.21,0.18249,229.64,43.09,0.0023593
2020-06-27,9012.0,0.17509,220.94,41.06,0.0023045
2020-06-28,9116.35,0.17693,224.93,41.37,0.0023142
2020-06-29,9192.56,0.17726,227.93,41.87,0.0023077
2020-06-30,9138.55,0.17533,225.6,41.17,0.0023185
2020-07-01,9232.0,0.17647,230.99,41.77,0.0023203
2020-07-02,9086.54,0.17477,226.46,41.05,0.002322
2020-07-03,9058.26,0.1762,224.87,41.14,0.0023139
2020-07-04,9135.46,0.17808,229.17,42.11,0.0023012
2020-07-05,9069.41,0.17695,227.56,41.58,0.0023029
2020-07-06,9344.2,0.18875,241.6,44.06,0.0026193
2020-07-07,9257.39,0.18508,239.39,43.39,0.003136
2020-07-08,9436.06,0.20551,246.95,45.35,0.0047657
2020-07-09,9232.43,0.20263,241.98,44.33,0.0043214
2020-07-10,9288.34,0.19909,241.26,44.3,0.0035313
2020-07-11,9234.03,0.2011,239.19,44.69,0.0038041
2020-07-12,9302.75,0.20128,242.79,44.7,0.0036358
2020-07-13,9242.62,0.19867,239.5,43.92,0.0031677
2020-07-14,9255.85,0.19909,240.44,43.88,0.0032888
2020-07-15,9197.6,0.19721,238.61,43.33,0.0030868
2020-07-16,9133.72,0.19444,233.57,42.09,0.0029808
2020-07-17,9154.32,0.1944,232.67,41.9,0.0030528
2020-07-18,9170.28,0.1999,235.67,42.45,0.003449
2020-07-19,9208.99,0.19956,239.11,42.64,0.0033811
2020-07-20,9160.78,0.19465,236.01,41.94,0.0032201
2020-07-21,9390.0,0.19949,245.59,43.77,0.0032979
2020-07-22,9518.16,0.20348,263.74,44.96,0.0032868
