,ETH
2018-10-02,225.69000000
2018-10-01,231.61000000
2018-09-30,232.94000000
2018-09-29,231.62000000
2018-09-28,221.84000000
2018-09-27,229.13000000
2018-09-26,214.42000000
2018-09-25,219.62000000
2018-09-24,228.06000000
2018-09-23,244.50000000
2018-09-22,241.01000000
2018-09-21,247.73000000
2018-09-20,224.00000000
2018-09-19,209.79000000
2018-09-18,208.17000000
2018-09-17,196.16000000
